CompanyName,symbol,CIK,SIC,Email,NAICS,Sector,Address,Website,Industry,Telephone,Facsimile,Fiscal Year End,Business Description,Market
American Core Sectors Dividend Fund,ACZ.UN,,"
",,,,"One First Canadian Place, 	58th Floor, 	Toronto, , Canada, 	",,,,,"
	/",,TSX
Alaris Royalty Corp.,AD,,"
7129 ",,Miscellaneous Financial Investment Activities(523999),Financial Services,"333 - 24th Avenue SW, 	Suite 250, 	Calgary, AB, CAN, T2S 3E6	",http://www.alarisroyalty.com,Credit Services,+1 403 228-0873,+1 403 228-0906,"
	12/2018","Alaris Royalty Corp is engaged in investing in operating entities. Its operations consist primarily of investments in private operating entities, typically in the form of preferred limited partnership interests, preferred interest in limited liability corporations in the United States, loans receivable, or long-term license and royalty arrangements.",TSX
Acadian Timber Corp.,ADN,,"
",rlee@acadiantimber.com,Forest Nurseries and Gathering of Forest Products(113210),Basic Materials,"1055 West Georgia Street, 	Suite 1800, PO Box 11179, 	Vancouver, BC, CAN, V6E 3R5	",http://www.acadiantimber.com,Forest Products,+1 604 661-9143,+1 604 687-3419,"
	12/2018","Acadian Timber Corp is a Canada-based supplier of primary forest products in Eastern Canada and the Northeastern United States. The company organizes its operations in two segments, namely New Brunswick Timberlands and Maine Timberlands of which the Maine Timberlands segment contributes a vast majority of total revenue. Acadian's products include softwood and hardwood sawlogs, pulpwood and biomass by-products, sold to many regional customers. The company also owns and operates a forest nursery in Second Falls, New Brunswick.",TSX
Advanz Pharma Corp.,ADVZ,1642271,"
3741 ",,Pharmaceutical Preparation Manufacturing(325412),Healthcare,"5770 Hurontario Street, 	Suite 310, 	Mississauga, ON, CAN, L5R 3G5	",https://www.advanzpharma.com,Biotechnology,+1 905 842-5150,+1 905 842-5154,"
	12/2018","Advanz Pharma Corp is an international specialty pharmaceutical company, owning or licensing, through its subsidiaries, a diversified portfolio of branded and generic prescription products. The company has two reportable segments, which consist of ADVANZ PHARMA International and ADVANZ PHARMA North America. In ADVANZ PHARMA North America segment revenue is derived from two customer groups, which includes wholesalers and authorized generic partners. In ADVANZ PHARMA International segment revenue is recognized at the time of sale to the wholesalers, hospitals and pharmacies, as this is the point of transferring control over the promised goods to the customer.",TSX
Andrew Peller Limited/Andrew Peller Limitee,ADW.A,,"
1141 ",info@andrewpeller.com,Wineries(312130),Consumer Defensive,"697 South Service Road, 		Grimsby, ON, CAN, L3M 4E8	",http://www.andrewpeller.com,Beverages - Alcoholic,+1 905 643-4131,+1 905 643-8927,"
	03/2018","Andrew Peller Ltd is a wine producing company. It is engaged in production and marketing of wine and spirit products in Canada. The company grows the grapes in Ontario's Niagara Peninsula, British Columbia's Okanagan and Similkameen Valleys, and from other vineyards. Some of the company's brands are Peller Estates, Trius, Thirty Bench, Wayne Gretzky, Sandhill, Conviction, Red Rooster, Hochtaler, Domaine D'Or, Schloss Laderheim, Royal, Sommet, Peller Estates French Cross, Peller Estates Proprietors Reserve, Copper Moon, Black Cellar and XOXO. Through its subsidiary, the company also produces and markets personal winemaking products. It operates independent retail locations in Ontario under The Wine Shop, Wine Country Vintners, and Wine Country Merchants store names.",TSX
Acasta Enterprises Inc.,AEF,,"
7215 ",,Offices of Other Holding Companies(551112),Industrials,"1 Apollo Place, 		Toronto, ON, CAN, M3J 0H2	",http://www.acastaenterprises.com,Conglomerates,+1 416 758-3700,+1 416 758-3701,"
	12/2018","Acasta Enterprises Inc. functions as a special purpose acquisition company. The company intends to acquire one or more businesses or assets, by way of a merger, amalgamation, arrangement, asset acquisition, reorganization, or any other business combination. It operates through the following segments: Consumer Products, and Others. The Consumer Products segment which derives majority revenue includes companies that manufacture and distribute store-brand laundry, dish cleaning, and health and beauty care products. Geographically, the United States accounts for majority revenue.",TSX
Agnico Eagle Mines Limited,AEM,2809,"
",,Gold Ore Mining(212221),Basic Materials,"145 King Street East, 	Suite 400, 	Toronto, ON, CAN, M5C 2Y7	",https://www.agnicoeagle.com,Metals & Mining,+1 416 947-1212,+1 416 367-4681,"
	12/2018","Agnico-Eagle Mines is a gold miner operating mines in Canada, Mexico, and Finland. It also owns 50% of the Canadian Malartic mine. Agnico operated just one mine, LaRonde, as recently as 2008 before bringing its other mines on line in rapid succession in the following years. The company produced roughly 1.6 million gold ounces in 2018. Agnico-Eagle is focused on increasing gold production in lower-risk jurisdictions.",TSX
AEterna Zentaris Inc.,AEZS,1113423,"
3741 ",IR@aezsinc.com,Pharmaceutical Preparation Manufacturing(325412),Healthcare,"315 Sigma Drive, 	Suite 302D, 	Summerville, SC, USA, 29486	",https://www.zentaris.com,Biotechnology,+1 843 900-3201,,"
	12/2018","AEterna Zentaris Inc is a specialty biopharmaceutical company. It is involved in development and commercialization of novel pharmaceutical therapies, drug development activities and promotion of products for others in oncology, endocrinology and women's health. The company focuses on the acquisition of licenses to products that are relevant to their therapeutic areas of focus. Its primary product is Apifiny. It is developing Macrilen, Zoptrex and AEZS drugs in the pipeline.",TSX
Ag Growth International Inc.,AFN,,"
3199 ",steve@aggrowth.com,Farm Machinery and Equipment Manufacturing(333111),Industrials,"198 Commerce Drive, 		Winnipeg, MB, CAN, R3P 0Z6	",http://www.aggrowth.com,Farm & Construction Machinery,+1 204 489-1855,+1 204 488-6929,"
	12/2018","Ag Growth International Inc manufactures portable and stationary grain handling, storage and conditioning equipment, including augers, belt conveyors, grain storage bins, grain handling accessories, grain aeration equipment and grain drying systems. The company operates mainly in Portable handling, permanent handling, storage and conditioning, livestock and manufacturing sectors. The company owns brands like batco, wheatheart, westfield, storm, rem, hi roller, union iron, hsi, tramco, ptm, vis, nuvision, twister, grain guard, airlanco, westeel, frame, entringer. It has manufacturing facilities in Canada, the United States, Italy, Brazil, and the United Kingdom. Western Canada region generates most of the company's revenue.",TSX
AGF Management Limited,AGF.B,1003518,"
7214 ",InvestorRelations@agf.com,Portfolio Management(523920),Financial Services,"66 Wellington Street West, 	Toronto Dominion Bank Tower, 31st Floor, 	Toronto, ON, CAN, M5K 1E9	",http://www.agf.com,Asset Management,+1 416 865-4199,+1 416 865-4220,"
	11/2018","AGF Management is a Canada-based asset manager with operations and investments in Canada, the United States, the United Kingdom, Ireland, and Asia. At the end of December 2018, the firm had CAD 35.5 billion in total assets under management. AGF Management's funds are weighted more heavily toward equities, with close to two thirds of retail AUM being equity-related. That said, the company does use fundamental, quantitative and alternative strategies to manages its investment funds. AGF Management also has a larger portion of its business tied to institutional clients than its peers, with roughly one third of AUM derived from institutional and subadvised accounts. The company also derives just over a sixth of its managed assets from high-net-worth clients.",TSX
Alamos Gold Inc.,AGI,1178819,"
",sparsons@alamosgold.com,Gold Ore Mining(212221),Basic Materials,"181 Bay Street, Brookfield Place, 	Suite 3910, 	Toronto, ON, CAN, M5J 2T3	",https://www.alamosgold.com,Metals & Mining,+1 416 368-9932,+1 416 368-2934,"
	12/2018","Alamos Gold Inc acquires, explores, and produces gold and other precious metals, and operates in two principal geographic areas: Canada and Mexico. The company has three operating mines in North America: the Young-Davidson Mine in Canada and the Mulatos and El Chanate Mines in Sonora, Mexico. The Young-Davidson mine is the group's largest revenue contributor, and the property also holds mineral leases and claims covering approximately 11,000 acres. Additionally, Alamos has a significant portfolio of projects in Turkey and the United States.",TSX
Advantaged Canadian High Yield Bond Fund,AHY.UN,,,,,,,,,,,,,TSX
Atrium Mortgage Investment Corporation,AI,,"
7124 ",,Sales Financing(522220),Financial Services,"20 Adelaide Street East, 	Suite 900, 	Toronto, ON, CAN, M5C 2T6	",http://www.atriummic.com,Banks,+1 416 867-1053,+1 416 867-1303,"
	12/2018",Atrium Mortgage Investment Corp is a non-banking finance company providing residential and commercial mortgages that lends funds in major urban centres in Canada where the stability and liquidity of real estate are high. Atrium's objectives are to provide its shareholders with stable and secure dividends and preserve shareholders' equity by lending within conservative risk parameters. The company generates its revenue from mortgage interest and fees.,TSX
Altus Group Limited,AIF,,"
7511 ",info@altusgroup.com,Lessors of Other Real Estate Property(531190),Real Estate,"33 Yonge Street, 	Suite 500, 	Toronto, ON, CAN, M5E 1G4	",http://www.altusgroup.com,Real Estate Services,+1 416 641-9500,+1 416 641-9501,"
	12/2018","Altus Group Ltd operates in the Canadian real estate sector. Its services can be summed up as advisory services, software and data solutions to the property and real estate industry. The company has three reportable segments namely Altus Analytics, Commercial Real Estate Consulting, and Geomatics. It generates maximum revenue from Commercial Real Estate Consulting segment. A part of its revenue is also derived from the United States, Europe, and the Asia Pacific.",TSX
Almonty Industries Inc.,AII,,"
",info@almonty.com,All Other Metal Ore Mining(212299),Basic Materials,"100 King Street West, 	Suite 5700, 	Toronto, ON, CAN, M5X 1C7	",http://www.almonty.com,Metals & Mining,+1 604 684-6264,+1 416 628-2516,"
	09/2018","Almonty Industries Inc is engaged in the mining, processing, and shipping of tungsten concentrate. It operates through five segments which include Los santos mine, Wolfram camp mine, Valtreixal mine, Woulfe mine and Panasqueira mine. The Los santos mine located in Spain includes exploration and mining of tungsten. The Wolfram Camp mine is located in Queensland, Australia and includes exploration and mining of tungsten and molybdenum, which it sells as tungsten concentrate and molybdenum concentrate. The Valtreixal Mine in Spain, related to activities related to the valtreixal tin or tungsten project. Its Woulfe segment is engaged in evaluating sangdong mine located in the Republic of Korea. The Panasqueira mine in Portugal consists of the production of copper and tin concentrate.",TSX
Aimia Inc.,AIM,,"
7799 ",,All Other Business Support Services(561499),Industrials,"525 Viger Avenue West, 	Suite 1000, 	Montreal, QC, CAN, H2Z 0B2	",http://www.aimia.com,Business Services,+1 514 205-7857,+1 514 205-7578,"
	12/2018","Aimia Inc. is a loyalty and travel consolidator focused on growing earnings though its existing investments and the targeted deployment of capital in loyalty solutions and other sub-sectors of the rapidly-expanding loyalty and travel markets. Its investments in travel loyalty include the Club Premier program in Mexico, which it jointly controls with Aeromexico through its investment in PLM, and an investment alongside Air Asia in travel technology company Big Life, the operator of BIG Loyalty. Aimia also operates a loyalty solutions business, which is a well-recognized, global full-service provider of next-generation loyalty solutions for many of the world's leading brands in the retail, CPG, travel & hospitality, and financial services verticals.",TSX
AgJunction Inc.,AJX,,"
3399 ",CorpInfo@AgJunction.com,Other Communications Equipment Manufacturing(334290),Technology,"9150 E. Del Camino Drive, 	Suite 109, 	Scottsdale, AZ, USA, 85258	",http://www.corp.agjunction.com,Communication Equipment,+1 785 742-5149,+1 785 742-2263,"
	12/2018","AgJunction Inc engages in the provision of hardware and software solutions for agriculture. The firm is engaged in precision agriculture business and develops products to enhance the efficiency and productivity of agricultural activities through the use of technology. It designs, manufactures and markets products and applications incorporating technologies that provide automation and navigation solutions through the integration of global navigation satellite systems (GNSS) positioning, and other technologies for precision machine guidance, steering and flow control. It operates through agriculture products segment. Its products offer positioning and machine control capabilities for the agriculture sector, including machine control and auto-steering systems.",TSX
Asanko Gold Inc.,AKG,1377757,"
",,Gold Ore Mining(212221),Basic Materials,"1066 West Hastings Street, 	Suite 680, 	Vancouver, BC, CAN, V6E 3X2	",http://www.asanko.com,Metals & Mining,+1 604 683-8193,+1 604 683-8194,"
	12/2018","Asanko Gold Inc is engaged in the exploration and development of resource properties. All of the company's properties are currently in the exploration stage. The company is focused on advancing its principal project, the Asanko Gold Mine to commercial production. In addition to its principal project, the company holds a portfolio of other Ghanaian gold concessions in various stages of exploration. Asanko Gold Mine Project consists of two neighboring gold projects, the Obotan Project and the Esaase Project, both located in the Amansie West District of the Republic of Ghana, West Africa.",TSX
Akita Drilling Ltd.,AKT.A,,"
",murray.roth@akita-drilling.com,Crude Petroleum Extraction(211120),Energy,"333-7th Avenue South West, 	Suite 1000, 	Calgary, AB, CAN, T2P 2Z1	",http://www.akita-drilling.com,Oil & Gas - Drilling,+1 403 292-7530,+1 403 292-7990,"
	12/2018","Akita Drilling Ltd is a Canadian oil and gas drilling contractor. The company is engaged in providing contract drilling services, primarily to the oil and gas industry. The company owns and operates over 30 drilling rigs It is also involved in the drilling related to potash mining and the development of storage caverns.",TSX
Akumin Inc.,AKU,,"
8689 ",,Diagnostic Imaging Centers(621512),Healthcare,"151 Bloor Street West, 	Suite 603, 	Toronto, ON, CAN, M5S 1S4	",http://www.akumin.com,Medical Diagnostics & Research,+1 416 613-1391,+1 855 855-0050,"
	12/2018","Akumin Inc is a Canada-based company that provides freestanding, fixed-site outpatient diagnostic imaging services in the United States. The company operates in Florida, Pennsylvania, Delaware, Texas, Illinois, and Kansas. It offers physicians with imaging capabilities to facilitate the diagnosis and treatment of diseases and disorders and may reduce unnecessary invasive procedures, minimizing the cost and amount of care for patients. The company's imaging procedures include MRI, CT, positron emission tomography, ultrasound, X-ray, mammography, and other diagnostic or interventional radiology procedures.",TSX
AltaGas Ltd.,ALA,1337549,"
",michael.halpen@altagas.ca,Crude Petroleum Extraction(211120),Energy,"355 - 4th Avenue S.W., 	Suite 1700, 	Calgary, AB, CAN, T2P 0J1	",http://www.altagas.ca,Oil & Gas - Midstream,+1 403 691-9896,+1 403 691-7508,"
	12/2018","AltaGas Ltd owns and operates a diversified basket of energy infrastructure businesses. Business is conducted through three segments: Midstream, power, and utilities. Utility business owns and operates rate-regulated natural gas distribution assets across North America. Midstream business subsequent to the sale of non-core midstream assets in Canada and also engaged in the natural gas liquid processing and extraction, transportation, and storage. Natural gas is sold and purchased for both commercial and industrial users. The Power business include power generation assets such as natural gas-fired, wind, biomass, and hydro power assets. Revenue is derived from customers in both Canada and the United States, with Canadian customers contributing the most.",TSX
Allbanc Split Corp. II,ALB,,"
7211 ",,Portfolio Management(523920),Financial Services,"150 King Street West, 	18th Floor, 	Toronto, ON, CAN, M5H 1J9	",http://www.scotiamanagedcompanies.com,Asset Management,+1 416 863-5930,+1 416 863-7425,"
	02/2019","Allbanc Split Corp II is a Canada based company. It holds a portfolio of common shares of Bank of Montreal, Canadian Imperial Bank of Commerce, National Bank of Canada, The Bank of Nova Scotia, Royal Bank of Canada, and Toronto-Dominion Bank. The objective of the company is to invest in portfolio shares and not engage in trading. The company receives maximum revenue from the dividend income. Geographically, the company operates in Canada region only.",TSX
Algoma Central Corporation,ALC,,"
4554 ",,Deep Sea Freight Transportation(483111),Industrials,"63 Church Street, 	Suite 600, 	St. Catharines, ON, CAN, L2R 3C4	",http://www.algonet.com,Transportation & Logistics,+1 905 687-7888,+1 905 687-7840,"
	12/2018","Algoma Central Corporation is a Canadian shipping company. It operates Canadian flag fleet of dry and liquid bulk carriers operating on the Great Lakes. The company operates its business through six segments that are Domestic Dry-Bulk, Product Tankers, Ocean SelfUnloaders, Corporate, Investment Properties, and Global Short Sea Shipping. The Domestic Dry-Bulk, accounts for the maximum revenue, Product Tankers, and Ocean Shipping. The dry-bulk vessels carry a cargo of raw materials such as grain, iron ore, salt and aggregates and operates throughout the Great Lakes. The product tankers manage a fleet of seven Canadian flag tanker vessels and the ocean shipping segment includes two ocean-going self-unloading vessels.",TSX
Aleafia Health Inc.,ALEF,,"
3741 ",IR@AleafiaInc.com,Pharmaceutical Preparation Manufacturing(325412),Healthcare,"8810 Jane Street, 	2nd Floor, 	Concord, ON, CAN, L4K 2M9	",https://www.aleafiainc.com,Drug Manufacturers,+1 416 860-5665,+1 902 491-4281,"
	12/2018","Aleafia Health Inc is a vertically integrated cannabis health and wellness company which owns three cannabis product and cultivation facilities where it produces a diverse portfolio of commercially high-margin derivative products including oils, capsules and sprays. The company operates national network of medical cannabis clinics and has seen over 60,000 patients to date.",TSX
Accelerate Private Equity Alpha Fund,ALFA,,,,,,,,,,,,,TSX
Alio Gold Inc.,ALO,1502154,"
",info@aliogold.com,Gold Ore Mining(212221),Basic Materials,"700 West Pender Street, 	Suite 507, 	Vancouver, BC, CAN, V6C 1G8	",http://www.aliogold.com,Metals & Mining,+1 604 682-4002,+1 604 682-4003,"
	12/2016","Alio Gold Inc is a gold mining company. It is engaged in exploration, development and production in Mexico. Its projects include San Francisco mine in Sonora, Mexico and the development stage Ana Paula project in Guerrero, Mexico.",TSX
Altius Minerals Corporation,ALS,1109616,"
",info@altiusminerals.com,All Other Metal Ore Mining(212299),Basic Materials,"66 Kenmount Road, 	Suite 202, 	St. John's, NL, CAN, A1B 3V7	",http://www.altiusminerals.com,Metals & Mining,+1 709 576-3440,+1 709 576-3441,"
	12/2018","Altius Minerals Corp is engaged in the business of obtaining diversified mining royalty. It holds interests in mining operations that produce metals and minerals such as copper, zinc, nickel, cobalt, gold, silver, and potash. The corporation also holds other pre-development stage royalty interests and various earlier stage royalties. It is engaged in the operating segments of the Acquisition and management of producing and development stage royalty and streaming interests (Royalties); and Acquisition and early stage exploration of mineral resource properties with a goal of vending the properties to third parties in exchange for early stage royalties and minority equity or project interests (Project Generation). It derives a majority of the revenue from the Royalties segment.",TSX
Alithya Group inc.,ALYA,1734520,"
7721 ",,All Other Business Support Services(561499),Technology,"700 De la Gauchetiere Street West, 	Suite 2400, 	Montreal, QC, CAN, H3B 5M2	",https://alithya.com,Application Software,+1 514 285-5552,,"
	03/2018","Alithya Group Inc is a leader in strategy and digital transformation, with professionals in Canada, the US and Europe. Its integrated offering is laid out as follows: Strategy, custom solutions, Microsoft solutions and Oracle solutions. Clients entrust the company with their strategic projects across Banking, Investment and Insurance, Energy, Manufacturing, Retail and Distribution, Telecommunications, Transportation, Professional services, Healthcare and Government sectors.",TSX
Almaden Minerals Ltd.,AMM,1015647,"
",info@almadenminerals.com,Gold Ore Mining(212221),Basic Materials,"1333 Johnston Street, 	Suite 210, 	Vancouver, BC, CAN, V6H 3R9	",http://www.almadenminerals.com,Metals & Mining,+1 604 689-7644,+1 604 689-7645,"
	12/2018","Almaden Minerals Ltd is an exploration stage company and is engaged in the exploration and development of properties in Canada, The United States, and Mexico. It is in the business of exploring and developing mineral projects. The company's significant property interest includes the Tuligtic property in Puebla, Mexico. Its principal asset is the Ixtaca precious metals project located on its Tuligtic claim in Mexico.",TSX
Anaconda Mining Inc.,ANX,,"
",info@anacondamining.com,Gold Ore Mining(212221),Basic Materials,"150 York Street, 	Suite 410, 	Toronto, ON, CAN, M5H 3S5	",http://www.anacondamining.com,Metals & Mining,+1 416 304-6622,+1 416 363-4567,"
	12/2018","Anaconda Mining Inc is a gold mining, exploration and development company, focused in the prospective Atlantic Canadian jurisdictions of Newfoundland and Nova Scotia. The projects of the company comprise of Goldboro Project, Point Rousse Project, The Great Northern Project, The Tilt Cove Project and Cape Spencer Project.",TSX
Africa Oil Corp.,AOI,1463514,"
",,Crude Petroleum Extraction(211120),Energy,"885 West Georgia Street, 	Suite 2000, 	Vancouver, BC, CAN, V6C 3E8	",http://www.africaoilcorp.com,Oil & Gas - E&P,+1 604 689-7842,+1 604 689-4250,"
	12/2018","Africa Oil Corp is a Canada based international oil and gas exploration company. It is an exploration stage enterprise that participates in oil and gas projects located in emerging markets, in sub-Saharan Africa. The company operates in the business segment of international oil and gas exploration, and geographically, it operates in Kenya and Ethiopia.",TSX
Allied Properties Real Estate Investment Trust,AP.UN,,"
7512 ",info@alliedreit.com,Lessors of Nonresidential Buildings (except Miniwarehouses)(531120),Real Estate,"134 Peter Street, 	Suite 1700, 	Toronto, ON, CAN, M5V 2H2	",http://www.alliedreit.com,REITs,+1 416 977-9002,+1 416 977-9053,"
	12/2018","Allied Properties Real Estate Investment Trust is a real estate investment trust engaged in the development, management, and ownership of primarily urban office environments across Canada's major cities. Most of the total square footage in the company's real estate portfolio is located in Toronto and Montreal. Allied Properties derives nearly all of its income in the form of rental revenue from tenants in its properties. The majority of this revenue comes from its assets located in Central Canada. Allied Properties' major tenants include IT, banking, government, marketing, and telecommunications firms. The company also controls a number of telecommunications/IT and retail properties within its real estate portfolio.",TSX
Aphria Inc.,APHA,,"
3741 ",mgalloro@aloefinancial.com,Pharmaceutical Preparation Manufacturing(325412),Healthcare,"245 Talbot Street W., 	Suite 103, 	Leamington, ON, CAN, N8H 1N8	",http://www.aphria.com,Drug Manufacturers,+1 844 427-4742,+1 519 322-2916,"
	05/2018","Aphria Inc and its subsidiaries produce and sell medical marijuana. Its products include Capsules, Oral solutions, and Vaporizers. The company's operations are based in Leamington, Ontario. It is focused on producing and selling medical marijuana and its derivatives through retail sales and wholesale channels.",TSX
Automotive Properties Real Estate Investment Trust,APR.UN,,"
7222 ",,"Trusts, Estates, and Agency Accounts(525920)",Real Estate,"133 King Street East, 	Suite 300, 	Toronto, ON, CAN, M5C 1G6	",http://www.automotivepropertiesreit.ca,REITs,+1 647 789-2436,,"
	12/2018","Automotive Properties Real Estate Investment Trust is an unincorporated, open-ended real estate investment trust focused on owning and acquiring income-producing automotive dealership properties located in Canada. The primary strategy of the company is to create long-term value for Unitholders by generating sustainable tax-efficient cash flow and capital appreciation. The company has its properties in Vancouver, Calgary, Regina, Edmonton, and Montreal.",TSX
Aptose Biosciences Inc.,APS,882361,"
3741 ",ir@aptose.com,Pharmaceutical Preparation Manufacturing(325412),Healthcare,"251 Consumers Road, 	Suite 1105, 	Toronto, ON, CAN, M2J 4R3	",http://www.aptose.com,Biotechnology,+1 647 479-9828,+1 905 234-2120,"
	12/2018","Aptose Biosciences Inc is a biotechnology company. It develops targeted medicines and personalized therapies for the precision treatment of life-threatening cancers such as acute myeloid leukemia, myelodysplastic syndromes and other hematologic malignancies and also therapies for Oncology. The firm has CG-806, APTO-253 drugs in preclinical development stage pipeline.",TSX
Anglo Pacific Group PLC,APY,,,,,,,,,,,,,TSX
